Time (UTC) , i value , j value , latitude , longitude ," u (west to east wind, m/s) "," v (south to north wind, m/s) ", temperature (C) , relative humidity (%) , vertical velocity (cm/s) , pressure (mb) , water vapor  (g/kg) , turbulent kinetic energy (m^2/s^2) , precipitation rate (mm/hr), sensible heat flux (W/m^2) , Latent heat flux (W/m^2) , tracer concentration
14.1,70,53,33.266,-81.622,6.42495,-0.94979,8.23628,55.42784,2.63038,993.53308,3.82732,0.00356,0,52.47143,-0.08097,0.0
12.8,71,47,33.26,-81.621,7.42512,-1.37354,8.33395,53.9836,0.09856,992.53644,3.75652,0.0005,0,-26.55687,0.38797,0.0
16.9,7,31,33.244,-81.685,3.49382,0.59308,14.12326,39.1852,0.73352,993.29156,4.02176,0.69843,0,205.01921,1.16621,0.0
17.7,36,62,33.275,-81.656,3.64475,1.11752,15.67822,34.75577,-1.07757,994.63617,3.94445,0.8983,0,238.67787,3.77604,0.0
17.0,55,31,33.244,-81.637,3.71702,0.35824,14.24902,38.14099,3.91973,992.08862,3.95202,0.73482,0,321.92902,0.17537,0.0
14.6,57,60,33.273,-81.635,5.14684,-0.41794,8.70168,54.67924,-6.30783,993.79974,3.89708,0.07698,0,16.76827,-0.34745,0.0
12.4,5,53,33.266,-81.687,6.52224,-0.71124,7.882,56.56832,-8.71592,994.56183,3.80801,0.00097,0,-15.8966,0.29254,0.0
14.8,62,24,33.237,-81.63,4.32755,-0.4645,8.99907,54.1891,2.32165,994.11914,3.94025,0.35916,0,114.00158,0.15328,0.0
17.3,8,45,33.258,-81.684,3.41395,0.88763,15.09886,36.5806,6.14621,993.83588,4.00064,0.97639,0,333.77878,1.02422,0.0
12.1,46,65,33.278,-81.646,7.38609,-0.75087,8.23129,54.52313,7.17043,992.36267,3.76805,0.0005,0,-9.09124,0.17246,0.0
12.3,19,15,33.228,-81.673,7.10597,-1.30758,8.21299,54.88836,0.43582,993.83136,3.78287,0.00053,0,-45.33804,14.98019,0.0
16.8,10,26,33.239,-81.682,3.54497,0.51308,13.9134,39.7564,-0.49754,993.68347,4.02269,0.648,0,205.96188,1.27214,0.0
12.0,33,52,33.265,-81.659,7.3427,-0.71044,8.25785,54.64542,8.35531,993.47198,3.77914,0.0005,0,-14.67859,0.27842,0.0
15.9,24,31,33.244,-81.668,3.53281,-0.0968,11.96638,45.25087,3.1946,993.08777,4.02552,0.48536,0,174.63347,0.81271,0.0
16.4,21,23,33.236,-81.671,3.66902,0.06656,13.1603,41.89423,1.26733,994.23102,4.03073,0.54947,0,180.43301,1.04272,0.0
15.8,56,64,33.277,-81.636,3.77356,-0.42912,11.61545,45.88139,-1.59922,991.84753,3.99184,0.4441,0,133.6711,0.12432,0.0
13.4,47,33,33.246,-81.645,7.08647,-1.50085,8.18073,54.9015,-4.56459,992.65747,3.77991,0.0005,0,-3.45221,-0.09972,0.0
16.4,47,21,33.234,-81.645,3.69933,-0.16864,13.17741,41.38488,-5.37113,991.94763,3.99555,0.74221,0,277.9884,0.89748,0.0
17.8,72,61,33.274,-81.62,3.51634,1.35096,16.08171,33.55515,23.90137,993.23785,3.91516,0.98462,0,339.69882,0.8478,0.0
17.1,16,39,33.252,-81.676,3.39685,0.85503,14.53681,37.84651,3.43106,992.19055,3.99603,0.82142,0,196.03473,2.01548,0.0
13.6,50,44,33.257,-81.642,6.76051,-1.25966,8.14104,55.22793,-1.43575,992.66357,3.79199,0.0005,0,-4.69737,0.07489,0.0
12.6,66,9,33.222,-81.626,7.09435,-1.54267,8.06316,55.65475,15.41874,993.69537,3.79688,0.0092,0,-6.98613,0.2163,0.0
14.9,78,36,33.249,-81.614,4.15484,-0.37203,9.19786,53.20137,2.19599,992.31689,3.9285,0.39974,0,137.21454,-0.27715,0.0
12.5,61,28,33.241,-81.631,7.2498,-1.36611,8.1906,54.95872,-1.20809,993.71631,3.78233,0.00072,0,-12.5913,0.36543,0.0
12.8,23,21,33.234,-81.669,6.90932,-1.2857,8.06993,55.65845,4.81889,994.66742,3.79516,0.0012,0,-10.83042,0.16895,0.0
15.5,62,17,33.23,-81.63,3.05831,-0.14858,11.47786,46.85028,1.16759,995.51318,4.02362,0.72418,0,193.70036,-0.4815,0.0
16.9,64,26,33.239,-81.628,3.76092,0.2001,14.29932,37.93777,1.55428,992.85498,3.9409,0.89477,0,314.39423,1.25096,0.0
15.8,25,53,33.266,-81.667,3.46979,-0.30302,11.97222,45.08811,-2.82772,993.59387,4.01055,0.70185,0,133.37587,0.43893,0.0
12.0,59,54,33.267,-81.633,6.93818,-0.43682,8.0611,55.73714,-5.62746,993.47675,3.8028,0.00063,0,-18.26244,0.1498,0.0
16.8,66,18,33.231,-81.626,3.66876,0.07313,14.44131,37.81392,-1.36595,994.84888,3.95683,0.98529,0,308.78015,1.54431,0.0
14.8,47,24,33.237,-81.645,5.13512,-0.56111,8.85011,54.51545,-8.7827,992.81677,3.92902,0.14831,0,118.85271,-0.79673,0.0
12.8,63,28,33.241,-81.629,7.30687,-1.50096,8.21093,54.76769,1.02012,993.55078,3.77509,0.0005,0,-20.83471,0.42034,0.0
14.6,38,24,33.237,-81.654,5.71741,-0.82855,8.48621,55.38227,-1.10782,992.66199,3.89382,0.06346,0,113.86645,-0.17897,0.0
16.7,24,10,33.223,-81.668,3.26392,0.1549,13.77597,40.34784,3.41415,992.95459,4.04868,0.7322,0,270.24478,61.36604,0.0
14.0,43,28,33.241,-81.649,6.75599,-1.26467,8.10246,55.7437,-3.83069,992.6062,3.81748,0.00126,0,32.3548,-0.2567,0.0
17.7,12,67,33.28,-81.68,3.7129,1.01002,15.42383,35.49932,-1.55505,991.78485,3.97411,1.00826,0,222.41396,4.55644,0.0
14.9,17,54,33.267,-81.675,3.47346,-0.21275,9.72922,52.11513,-1.89391,995.84515,3.97581,0.46306,0,133.31189,-0.89483,0.0
15.2,78,57,33.27,-81.614,3.93828,-0.48126,10.31836,49.34882,2.79671,992.09174,3.93327,0.51957,0,165.80313,-0.2082,0.0
16.3,30,68,33.281,-81.662,4.00404,-0.38015,12.78196,42.71156,-4.59523,992.27814,4.01538,0.59089,0,156.67528,0.77704,0.0
14.3,6,25,33.238,-81.686,5.8183,-1.11378,8.21332,56.28465,8.23904,994.92499,3.87487,0.05676,0,-3.08482,0.21055,0.0
14.1,5,29,33.242,-81.687,6.35954,-1.22721,8.23702,55.64416,10.29411,994.47064,3.8388,0.00552,0,-2.66365,0.01821,0.0
15.5,42,14,33.227,-81.65,3.67068,-0.46697,10.95343,48.73564,1.77182,992.32513,4.05365,0.51453,0,206.55531,0.61864,0.0
15.0,79,12,33.225,-81.613,3.53459,-0.35213,9.91783,50.76698,0.42499,992.47968,3.93637,0.57315,0,137.74731,0.02253,0.0
17.1,25,4,33.217,-81.667,3.38861,0.68147,14.55466,38.32629,-0.73452,994.20599,4.04308,0.75614,0,186.98717,58.71273,0.0
13.9,22,13,33.226,-81.67,6.57652,-1.4919,8.22717,55.27954,-2.23405,993.87622,3.81337,0.00123,0,23.21572,17.30527,0.0
15.5,55,49,33.262,-81.637,3.27994,-0.19604,11.01962,47.61599,5.33151,991.92285,3.97986,0.43821,0,207.99809,-0.50009,0.0
13.5,12,60,33.273,-81.68,6.43832,-1.02976,8.00584,56.14776,-13.2331,994.21753,3.81342,0.00058,0,-17.14144,-0.14827,0.0
15.6,7,67,33.28,-81.685,3.47403,-0.24739,11.10245,48.32945,-2.76314,992.48779,4.05973,0.60182,0,96.67535,-0.18454,0.0
12.7,25,38,33.251,-81.667,7.54258,-1.42749,8.48808,53.25769,-1.79905,992.66608,3.74491,0.0005,0,-26.77389,0.34983,0.0
16.8,43,18,33.231,-81.649,3.69702,0.13179,13.90805,39.36671,-0.1293,991.58276,3.99044,0.7883,0,318.96924,1.05485,0.0
14.4,39,66,33.279,-81.653,5.48533,-0.33389,8.25149,56.40509,3.59409,994.26416,3.89598,0.09059,0,-0.25214,0.00665,0.0
16.4,44,49,33.262,-81.648,3.76256,-0.20385,13.08592,41.4031,0.50199,991.65668,3.97431,0.59282,0,179.48862,0.84617,0.0
14.8,15,42,33.255,-81.677,4.15664,-0.39872,9.20887,53.69278,-0.16391,993.43225,3.96326,0.31711,0,24.0001,-0.59952,0.0
17.8,30,46,33.259,-81.662,3.81287,1.85246,15.63056,34.81359,2.90793,993.52405,3.94324,0.83793,0,244.44742,4.8863,0.0
13.3,44,11,33.224,-81.648,7.13519,-1.74965,8.14854,55.24111,-9.874,993.97284,3.7898,0.00199,0,-2.06782,-0.01541,0.0
18.0,73,17,33.23,-81.619,4.21969,2.55967,15.89602,33.83384,-12.5051,993.48743,3.89928,1.21121,0,374.00607,2.1308,0.0
16.4,36,9,33.222,-81.656,3.51614,-0.14726,13.20257,41.77389,3.15722,993.10004,4.03509,0.66139,0,179.79436,1.39376,0.0
14.6,67,42,33.255,-81.625,5.78168,-1.04319,8.55874,54.89676,-2.33159,992.40601,3.87995,0.06505,0,105.16612,0.0962,0.0
15.9,20,28,33.241,-81.672,3.50316,-0.13611,11.97697,45.35963,-2.71604,993.9433,4.03453,0.46378,0,139.35031,0.96098,0.0
15.0,25,44,33.257,-81.667,3.4211,-0.17091,9.85732,51.70289,3.10951,994.53351,3.98415,0.33102,0,50.17895,-0.79904,0.0
14.4,10,41,33.254,-81.682,5.44835,-0.65546,8.37574,55.9642,4.1929,994.21515,3.89886,0.11313,0,85.65178,0.30111,0.0
17.5,9,37,33.25,-81.683,3.61255,1.26716,15.22295,36.1453,8.42143,993.30902,3.9874,0.86337,0,342.86401,1.20569,0.0
14.5,21,38,33.251,-81.671,5.6998,-0.85521,8.57631,54.91564,-2.74373,992.58984,3.88524,0.10007,0,24.69862,-0.28988,0.0
15.4,53,33,33.246,-81.639,3.36199,-0.32016,10.50544,49.65759,-1.67038,992.10516,4.00823,0.35608,0,96.31054,-0.56987,0.0
17.4,34,10,33.223,-81.658,3.35175,0.93579,15.03432,36.80879,4.33082,993.19055,4.01127,0.8254,0,235.6395,1.8581,0.0
17.5,6,21,33.234,-81.686,3.72749,1.11991,15.2707,36.29274,-3.86389,995.12115,4.00875,0.84699,0,242.09708,2.39029,0.0
14.1,79,66,33.279,-81.613,6.56864,-0.82342,8.24794,55.31962,2.04353,993.5011,3.82305,0.0104,0,64.03297,-0.08683,0.0
13.3,76,45,33.258,-81.616,7.21736,-1.494,8.32215,54.19222,1.40951,992.52612,3.76801,0.0005,0,-13.6391,0.27186,0.0
17.2,41,11,33.224,-81.651,3.48037,0.70692,14.66404,37.55182,10.34723,992.14154,3.99838,0.7668,0,338.58121,0.77344,0.0
17.0,64,50,33.263,-81.628,3.58824,0.47877,14.46735,37.36413,1.54226,991.94843,3.9281,0.8412,0,315.72852,1.02639,0.0
16.1,20,30,33.243,-81.672,3.56479,-0.08185,12.4596,43.79398,-2.55579,993.51593,4.02462,0.52606,0,151.67824,0.9953,0.0
12.9,42,21,33.234,-81.65,7.35506,-1.47128,8.16853,54.89635,-5.71428,992.60516,3.77658,0.0005,0,-37.64638,0.41324,0.0
17.3,77,57,33.27,-81.615,3.57795,0.37433,15.09481,35.73593,16.81907,991.51245,3.91654,0.98449,0,332.30405,0.22644,0.0
16.1,71,35,33.248,-81.621,3.48768,-0.42824,12.57456,42.85178,-4.5186,992.49615,3.97245,0.70645,0,250.50816,0.80577,0.0
14.1,69,32,33.245,-81.623,6.63323,-1.48191,8.222,55.3802,-10.90192,993.27179,3.82131,0.00314,0,-0.06584,0.00844,0.0
13.3,25,66,33.279,-81.667,7.11136,-1.25596,8.34798,54.32625,-4.85633,994.25977,3.77736,0.00061,0,-5.89703,0.11053,0.0
13.9,63,22,33.235,-81.629,6.62076,-1.44691,8.11591,55.88059,4.13346,994.68335,3.82231,0.00969,0,-0.49705,0.07273,0.0
14.0,55,64,33.277,-81.637,6.54115,-1.02652,8.20419,55.29052,-1.42794,992.651,3.81286,0.00304,0,-5.5971,0.16472,0.0
14.0,62,40,33.253,-81.63,6.56987,-1.38723,8.1763,55.40194,-5.35433,992.604,3.8134,0.0005,0,21.94817,-0.09603,0.0
17.8,29,23,33.236,-81.663,3.83491,1.25567,15.45531,35.4801,-2.79537,993.03845,3.97502,0.85526,0,250.65184,3.44661,0.0
15.9,76,47,33.26,-81.616,3.68845,-0.33198,12.13126,43.96337,1.10846,991.68018,3.96004,0.74186,0,230.96367,0.2334,0.0
13.5,14,17,33.23,-81.678,6.58484,-1.30117,8.06808,55.91944,3.11819,995.15405,3.81057,0.00164,0,-6.68602,2.46079,0.0
15.4,21,67,33.28,-81.671,4.01053,-0.28732,10.65408,49.34552,-7.89231,992.92676,4.01986,0.45157,0,88.31887,-1.05792,0.0
12.5,63,30,33.243,-81.629,7.35397,-1.44846,8.247,54.54274,-0.32285,992.82831,3.77169,0.0005,0,-19.54963,0.41987,0.0
12.5,39,25,33.238,-81.653,7.34248,-1.26508,8.11883,55.17253,2.95748,992.54449,3.78286,0.00054,0,-45.37002,0.41583,0.0
12.6,51,4,33.217,-81.641,7.04501,-1.37281,8.12614,55.56452,-7.1749,996.09058,3.79794,0.00253,0,-9.89038,0.3378,0.0
14.9,60,4,33.217,-81.632,3.64328,-0.33418,9.39573,53.26498,0.54327,994.06604,3.97953,0.47263,0,140.54744,-0.39961,0.0
14.5,36,28,33.241,-81.656,5.92934,-0.93416,8.44888,55.31894,-1.5617,992.66327,3.87942,0.05564,0,23.44673,0.0533,0.0
12.2,35,54,33.267,-81.657,7.30666,-0.7942,8.17404,54.98395,10.33691,993.7619,3.77957,0.00087,0,-10.64061,0.24237,0.0
15.6,77,18,33.231,-81.615,3.32118,-0.32233,11.66471,45.8173,0.49827,993.65527,3.99209,0.73525,0,198.29321,-0.65081,0.0
15.5,24,41,33.254,-81.668,3.4033,-0.19017,11.04573,48.08496,-0.97809,992.98273,4.02178,0.47495,0,102.92195,-0.28216,0.0
17.9,6,68,33.281,-81.686,3.88542,1.27333,15.7531,34.68945,4.03069,992.28583,3.96572,1.09248,0,224.54576,5.45552,0.0
17.0,6,52,33.265,-81.686,3.21215,0.45596,14.60632,37.95465,-0.87877,994.21466,4.01745,0.90689,0,312.19482,1.02823,0.0
17.9,34,68,33.281,-81.658,3.72806,1.27072,15.70091,34.52085,4.91316,992.40247,3.93257,0.90623,0,228.9725,5.84309,0.0
15.9,73,18,33.231,-81.619,3.41361,-0.42038,12.41686,43.60571,3.78803,993.6153,3.99551,0.80105,0,228.47408,0.88744,0.0
12.1,49,47,33.26,-81.643,7.17979,-0.78485,8.15212,54.97849,0.32722,992.26019,3.7793,0.0005,0,-5.59274,0.08047,0.0
12.5,13,58,33.271,-81.679,6.74636,-0.8516,8.01755,55.88754,-15.77715,994.71521,3.79688,0.00085,0,-32.75213,0.34446,0.0
17.9,19,23,33.236,-81.673,3.89275,1.4566,15.76854,34.81636,-0.54607,994.59045,3.97483,0.86884,0,247.82635,4.14414,0.0
12.8,21,4,33.217,-81.671,7.16691,-1.4546,8.2323,54.96569,-1.48536,995.65033,3.78623,0.00154,0,-4.27966,0.34422,0.0
17.2,26,52,33.265,-81.666,3.35929,0.73405,14.87187,36.89054,1.1985,993.28217,3.97725,0.90066,0,219.29852,1.69992,0.0
16.4,73,59,33.272,-81.619,3.91596,-0.6333,13.39211,40.48053,6.25016,992.85101,3.96059,0.75224,0,278.00348,0.99747,0.0
15.3,17,23,33.236,-81.675,3.30668,-0.0818,10.36734,51.13301,0.66677,995.1535,4.07627,0.31324,0,88.64832,0.32201,0.0
12.1,50,45,33.258,-81.642,7.17419,-0.81098,8.14011,55.05165,-0.80902,992.22473,3.78134,0.0005,0,-3.95987,-0.04978,0.0
13.5,11,30,33.243,-81.681,6.64689,-1.28125,8.0589,55.86632,0.57028,994.4787,3.80717,0.00081,0,-2.34598,0.05196,0.0
16.7,59,12,33.225,-81.633,3.41032,0.16303,14.23329,38.59641,5.61468,994.70203,3.98439,0.9213,0,300.78824,1.04401,0.0
18.0,24,35,33.248,-81.668,4.2325,2.20035,15.61863,34.65257,-0.3235,991.66455,3.92944,0.86871,0,248.03708,7.03971,0.0
13.8,38,60,33.273,-81.654,6.0231,-0.59955,7.8189,57.57731,0.4608,996.23431,3.85257,0.00763,0,-0.07101,-0.01125,0.0
13.0,44,20,33.233,-81.648,7.40998,-1.55241,8.22139,54.63534,-6.80528,992.58356,3.7724,0.0005,0,-39.32903,0.4049,0.0
17.0,22,8,33.221,-81.67,3.2543,0.48882,14.36042,38.81694,3.9464,993.38879,4.04626,0.78081,0,259.6286,60.60977,0.0
12.7,48,20,33.233,-81.644,7.34156,-1.35637,8.14953,55.12554,-9.19709,993.31989,3.78464,0.00171,0,-1.32096,-0.17703,0.0
17.5,26,4,33.217,-81.666,3.63716,1.27406,15.17922,36.63534,-0.19376,994.07635,4.02675,0.83974,0,225.09393,27.50232,0.0
12.2,36,16,33.229,-81.656,7.1914,-1.34474,8.13558,55.17987,-2.69729,992.84839,3.78655,0.00054,0,-24.17117,0.56216,0.0
13.9,21,35,33.248,-81.671,6.73198,-1.43686,8.36766,54.4791,-1.3756,992.79517,3.79877,0.0005,0,-8.64264,-0.08438,0.0
13.1,62,19,33.232,-81.63,6.75235,-1.37644,8.05521,56.01184,3.54765,995.94342,3.81044,0.01073,0,-0.31268,-0.01957,0.0
14.5,64,52,33.265,-81.628,5.51264,-0.65483,8.56831,54.96046,-4.15322,993.54456,3.8825,0.07808,0,82.18929,0.21689,0.0
17.5,78,22,33.235,-81.614,3.85608,0.01143,15.35993,35.21311,-2.21842,993.35895,3.91931,1.08485,0,342.37674,0.25489,0.0
17.6,33,42,33.255,-81.659,3.69971,1.6733,15.27692,35.70273,-1.46898,993.09094,3.95339,0.76127,0,229.82367,4.48299,0.0
14.9,4,5,33.218,-81.688,3.78917,-0.30792,9.2965,54.18044,-2.39986,994.13129,4.02037,0.46826,0,126.68844,33.0399,0.0
15.9,61,10,33.223,-81.631,3.26671,-0.18711,12.36963,44.02197,7.28778,993.96899,4.0195,0.7716,0,235.34946,1.03909,0.0
16.6,50,23,33.236,-81.642,3.60071,-0.00282,13.72369,39.85032,-6.2198,993.02563,3.98468,0.80057,0,290.97705,0.68484,0.0
16.3,35,60,33.273,-81.657,3.58557,-0.31906,13.22285,41.44279,-1.53711,995.14075,4.00014,0.67458,0,164.6886,0.94695,0.0
12.2,54,29,33.242,-81.638,7.25075,-1.19055,8.19854,54.91435,-6.78825,993.20392,3.78332,0.00067,0,-5.16994,0.13053,0.0
13.4,67,7,33.22,-81.625,6.79877,-1.59954,7.9985,56.02186,6.68575,993.9502,3.80398,0.01074,0,-6.24842,0.27935,0.0
18.0,64,13,33.226,-81.628,4.20434,2.30444,15.81933,34.11757,-0.10126,992.93158,3.91463,1.16395,0,373.81665,1.45173,0.0
16.4,15,40,33.253,-81.677,3.38634,0.08235,13.21016,41.60976,0.36914,992.44464,4.02395,0.74262,0,157.67183,0.63298,0.0
14.9,46,46,33.259,-81.646,3.61914,-0.21302,9.17527,53.59151,-0.59224,992.27252,3.9514,0.1964,0,47.78673,0.34648,0.0
14.3,51,18,33.231,-81.641,6.41296,-1.29762,8.40707,55.03653,-11.12749,994.11353,3.84288,0.04324,0,-13.1902,1.91195,0.0
14.0,11,46,33.259,-81.681,6.22283,-0.85557,8.17935,55.8849,2.26729,994.90607,3.83845,0.00209,0,55.81573,-0.37496,0.0
17.3,60,68,33.281,-81.632,3.76928,0.27433,14.59159,37.08505,-2.60346,991.49115,3.93255,0.6873,0,219.02097,2.07675,0.0
16.4,62,54,33.267,-81.63,3.57466,-0.4103,13.43128,40.39276,5.00515,992.9173,3.962,0.757,0,274.46948,0.73471,0.0
15.3,76,5,33.218,-81.616,3.36623,-0.23498,10.49567,49.38082,-3.70497,992.04883,3.98348,0.56734,0,88.56218,-0.63029,0.0
14.8,54,42,33.255,-81.638,4.56502,-0.60097,8.87935,54.32969,-1.92032,992.33154,3.92541,0.11616,0,76.14386,0.53157,0.0
14.6,41,15,33.228,-81.651,5.77432,-1.06364,8.56084,55.10541,-2.3888,992.71375,3.89403,0.09304,0,111.3504,-0.61824,0.0
16.2,21,14,33.227,-81.671,3.44807,-0.20929,12.67963,43.53253,3.09962,993.00684,4.06178,0.59359,0,236.79083,58.05956,0.0
15.1,13,20,33.233,-81.679,3.45503,-0.07509,9.82162,53.16568,-1.32841,995.75928,4.08186,0.29198,0,60.14096,25.47498,0.0
16.7,23,49,33.262,-81.669,3.34063,0.16918,14.03789,39.19941,0.65116,994.1972,3.99694,0.8126,0,184.51535,1.41528,0.0
13.6,68,56,33.269,-81.624,6.57485,-0.8529,8.05279,55.89448,0.44816,994.38721,3.80784,0.00115,0,-12.46181,0.36975,0.0
12.1,4,24,33.237,-81.688,6.66131,-1.0149,8.07526,55.84167,6.28582,995.13708,3.80722,0.00126,0,-1.42443,-0.04556,0.0
17.4,67,31,33.244,-81.625,3.85646,0.81958,14.92019,36.22005,-0.33196,991.69794,3.9237,0.95921,0,340.54117,0.47241,0.0
17.6,42,19,33.232,-81.65,3.55319,0.71527,15.1978,36.04967,3.14369,991.68549,3.97693,0.93494,0,347.31213,0.46345,0.0
15.6,17,24,33.237,-81.675,3.39068,-0.17035,11.20237,48.08287,-0.86976,994.74719,4.05691,0.39393,0,115.48773,1.07291,0.0
17.6,60,4,33.217,-81.632,3.92254,1.42682,15.33115,35.62632,3.8819,993.35437,3.95785,0.95603,0,351.87057,0.80705,0.0
13.6,11,60,33.273,-81.681,6.33541,-1.00236,7.97522,56.36152,-11.95425,994.09766,3.82033,0.00069,0,-10.05729,-0.20977,0.0
14.7,74,35,33.248,-81.618,4.91695,-0.62298,8.67784,54.97773,3.44756,993.19727,3.91436,0.20867,0,104.1181,-0.06949,0.0
16.8,38,18,33.231,-81.654,3.66162,0.14443,13.89341,39.52466,1.67102,991.90692,4.00125,0.73149,0,317.11118,1.02667,0.0
12.5,74,34,33.247,-81.618,7.29452,-1.37461,8.28659,54.45256,-3.02402,993.3277,3.77376,0.0005,0,-14.18917,0.30681,0.0
14.0,51,13,33.226,-81.641,6.65726,-1.61169,8.24891,55.41243,-8.21589,994.74896,3.82485,0.01211,0,-1.88814,0.10719,0.0
16.1,27,40,33.253,-81.665,3.58451,-0.16376,12.47434,43.49706,0.80214,992.39313,4.00584,0.57289,0,146.17036,0.66556,0.0
13.9,61,44,33.257,-81.631,6.61244,-1.31925,8.16027,55.35891,-6.01738,992.62482,3.80616,0.0005,0,14.94485,-0.06217,0.0
14.0,13,10,33.223,-81.679,6.47038,-1.35978,8.22178,55.49113,2.61085,994.32904,3.82479,0.00552,0,43.89194,18.76776,0.0
14.8,35,40,33.253,-81.657,4.00739,-0.27126,9.05648,54.10026,5.77111,993.37244,3.95225,0.19198,0,19.49926,0.7303,0.0
12.7,33,18,33.231,-81.659,7.14341,-1.44496,8.04239,55.56221,4.02631,993.06146,3.78761,0.00081,0,-40.88986,0.39182,0.0
15.7,20,33,33.246,-81.672,3.4201,-0.21063,11.432,46.94586,0.74713,992.70453,4.03096,0.50043,0,114.86382,0.78806,0.0
15.0,23,4,33.217,-81.669,3.86063,-0.62054,9.66876,53.22597,0.52856,995.15533,4.04673,0.40119,0,31.97799,41.93513,0.0
13.7,70,8,33.221,-81.622,6.70392,-1.59317,8.07092,55.72372,2.85531,992.86493,3.80684,0.01091,0,-13.09823,0.38458,0.0
18.0,66,61,33.274,-81.626,3.77413,1.86807,16.16304,33.26365,19.20414,993.255,3.90166,0.98659,0,353.34454,1.88416,0.0
13.2,40,14,33.227,-81.652,7.23675,-1.72171,8.20449,54.80573,-1.26843,992.99811,3.77817,0.0005,0,-29.29531,0.13905,0.0
13.3,16,62,33.275,-81.676,6.74285,-1.09781,8.13516,55.40758,-15.4556,994.40448,3.79605,0.0006,0,-27.44621,0.12138,0.0
15.7,38,48,33.261,-81.654,3.60049,-0.28201,11.55715,46.10124,4.88646,992.38831,3.99312,0.50497,0,125.14737,0.41758,0.0
17.5,25,9,33.222,-81.667,3.33992,1.07851,15.20549,36.56697,10.14173,993.24615,4.02958,0.86915,0,306.66797,71.63222,0.0
17.3,75,50,33.263,-81.617,3.70349,1.09552,14.94926,36.04922,1.45868,991.52533,3.91334,0.97551,0,333.56042,0.63419,0.0
14.1,22,61,33.274,-81.67,5.9854,-0.76517,8.25163,55.97265,-7.79271,995.98053,3.85941,0.0319,0,16.56978,-0.0301,0.0
16.1,62,29,33.242,-81.63,3.61707,-0.4498,12.56695,43.0138,3.02803,992.51752,3.98536,0.65077,0,252.53227,0.69367,0.0
15.4,48,5,33.218,-81.644,3.35885,-0.10862,10.87942,49.12836,2.43912,995.36353,4.05341,0.45154,0,182.53267,0.15759,0.0
18.0,7,57,33.27,-81.685,3.76117,1.44294,16.018,33.99364,1.6644,993.34924,3.94947,1.11728,0,345.78989,1.88888,0.0
15.9,40,8,33.221,-81.652,3.60251,-0.48508,11.99962,45.33437,3.85347,992.62732,4.04383,0.56408,0,219.42776,0.739,0.0
17.5,73,11,33.224,-81.619,3.86033,1.40356,15.222,35.64797,1.95155,991.65253,3.93897,1.03002,0,348.31366,0.74087,0.0
17.5,68,58,33.271,-81.624,3.43181,0.74346,15.54017,34.85869,15.36483,993.28687,3.92608,0.9445,0,334.48645,0.27254,0.0
14.9,73,12,33.225,-81.619,3.48183,-0.32569,9.60455,51.91089,0.11371,992.64282,3.93961,0.55408,0,130.15535,0.27552,0.0
16.2,58,33,33.246,-81.634,3.85941,-0.36623,12.62033,42.76336,3.6488,991.79041,3.97923,0.56314,0,261.45074,0.99855,0.0
16.2,48,47,33.26,-81.644,3.84819,-0.32778,12.64214,42.6128,0.32181,991.66144,3.9715,0.54922,0,170.35886,1.14751,0.0
17.3,73,57,33.27,-81.619,3.50115,0.41091,15.16257,35.64837,16.14192,992.38007,3.92082,0.97172,0,331.11362,0.34096,0.0
13.7,70,51,33.264,-81.622,6.85048,-1.24122,8.21059,54.99832,4.283,993.18256,3.79232,0.0005,0,2.45272,-0.21399,0.0
15.0,46,57,33.27,-81.646,2.50359,0.15169,9.72278,51.95711,5.35148,995.203,3.9646,0.24573,0,75.02888,0.15573,0.0
14.4,45,9,33.222,-81.647,5.73736,-1.20896,8.37139,55.72874,-6.72403,994.02069,3.88206,0.11302,0,54.98138,2.46471,0.0
13.1,43,60,33.273,-81.649,6.2278,-0.58707,7.70438,57.75223,3.78522,996.17322,3.83412,0.00713,0,-0.04635,-0.00856,0.0
17.9,57,16,33.229,-81.635,3.69689,2.24946,16.07134,33.86488,-5.52129,995.08527,3.94117,1.09274,0,369.41647,1.9622,0.0
15.0,47,63,33.276,-81.645,3.22224,0.0184,9.44742,52.70058,4.64639,992.61578,3.9571,0.23747,0,48.76916,0.1235,0.0
17.8,58,12,33.225,-81.634,3.91428,2.11949,15.81831,34.46043,-7.08052,995.01117,3.94528,1.0475,0,363.49231,1.55591,0.0
13.0,47,65,33.278,-81.645,7.18919,-1.12822,8.23036,54.43539,6.06095,992.5578,3.76099,0.00057,0,-9.28062,0.14856,0.0
16.0,56,42,33.255,-81.636,3.63672,-0.35266,12.14024,44.16543,8.33843,991.69238,3.98057,0.4679,0,242.26784,0.6094,0.0
12.9,59,18,33.231,-81.633,6.81784,-1.33846,8.09793,55.84048,-3.31978,996.13666,3.80922,0.00899,0,-0.0518,-0.00347,0.0
17.7,64,19,33.232,-81.628,3.25527,0.69535,16.03325,34.03747,18.92985,994.98755,3.95184,1.02388,0,333.4671,0.25907,0.0
12.1,40,18,33.231,-81.652,7.28035,-1.24233,8.18114,54.96197,-5.61071,992.45514,3.78496,0.0005,0,-34.29976,0.655,0.0
14.8,25,9,33.222,-81.667,4.38437,-0.81763,9.05618,54.57265,-2.45726,994.02863,3.98402,0.28967,0,116.18104,30.43257,0.0
